Token name 			 Token value
int                    int
id                   count
;                   ;
while               while
(                   (
id                  pass
relop               !=
num                 10
)                   )
{                   {
id                  pass
relop               =
id                  pass
addop               +
num                 1
;                   ;
}                   }
if                  if
(                   (
id                  mnt
relop               <=
num                 0
)                   )
{                   {
id                  count
=                   =
id                  count
addop               +
num                 1.234
;                   ;
}                   }
else                else
{                   {
id                  sum
=                   =
id                  sum
addop               +
id                  mnt
;                   ;
}                   }
